YearlyIncome,White,TotalIncome,TotalFirstHouseholdSize,TotalFirstHouseholdIncome,TotalEnrollments,TotalDependentsUnder18,MEDICAID,Hispanic,FoodStampsTotal,FirstShelterStayNightTotal,EverExperiencedDomesticViolence,EverExperiencedChronicHomeless,EarnedIncomeTotal,EarnedIncome,DomViolenceExp: Yes,DomViolenceExp: No,DomViolenceExp: Don't Know,ChildSupportTotal,BarriersSum,AGE
11592.0,1,364.0,3,966.0,2,1,1,0,0.0,11,0,0,0.0,0,0,0,1,0.0,0,55
9396.0,0,783.0,5,783.0,1,4,1,1,783.0,5,1,0,0.0,0,1,0,0,0.0,0,35
16800.0,1,1400.0,3,1400.0,1,2,0,0,0.0,2,1,0,1400.0,1,1,0,0,0.0,1,50
13308.0,0,925.0,4,1109.0,2,2,1,1,526.0,27,0,0,0.0,0,0,0,1,0.0,1,20
19308.0,0,1023.0,3,1609.0,1,1,1,1,302.0,25,0,0,0.0,0,0,0,1,0.0,0,24
4164.0,1,347.0,3,347.0,2,1,1,0,347.0,21,1,0,0.0,0,0,0,1,0.0,0,24
5100.0,1,425.0,4,425.0,1,2,1,0,425.0,50,1,0,0.0,0,0,0,1,0.0,0,26
0.0,0,0.0,3,0.0,4,1,1,1,0.0,108,0,0,0.0,0,0,0,1,0.0,0,20
21396.0,1,1387.0,4,1783.0,1,3,0,0,0.0,65,1,0,962.0,1,1,0,0,425.0,0,37
18000.0,1,1500.0,4,1500.0,1,2,0,0,0.0,38,0,0,1500.0,1,0,0,1,0.0,1,41
14196.0,0,1183.0,4,1183.0,3,6,1,0,583.0,103,0,0,600.0,1,0,0,1,0.0,0,24
12720.0,0,1060.0,4,1060.0,2,4,1,0,485.0,26,1,0,0.0,0,1,0,0,0.0,1,28
11424.0,1,0.0,6,952.0,2,8,1,0,0.0,133,0,0,0.0,0,0,1,0,0.0,0,35
9528.0,1,794.0,3,794.0,2,2,1,0,628.0,36,1,0,0.0,0,0,1,0,166.0,0,27
0.0,1,0.0,4,0.0,1,2,0,0,0.0,37,1,0,0.0,0,0,0,1,0.0,2,33
8400.0,0,700.0,6,700.0,1,5,1,0,700.0,1,0,0,0.0,0,0,1,0,0.0,0,35
10380.0,1,690.0,5,865.0,1,3,1,0,690.0,18,0,0,0.0,0,0,0,1,0.0,1,27
9252.0,1,771.0,3,771.0,1,2,1,0,526.0,1,1,0,0.0,0,1,0,0,0.0,1,28
7500.0,1,525.0,3,625.0,3,1,0,0,525.0,113,1,0,0.0,0,0,0,1,0.0,0,39
20400.0,0,1700.0,2,1700.0,1,1,0,0,0.0,38,1,0,1700.0,1,1,0,0,0.0,0,33
6300.0,1,525.0,4,525.0,1,2,1,0,525.0,37,0,0,0.0,0,0,0,1,0.0,2,23
19560.0,0,530.0,5,1630.0,1,3,1,0,530.0,24,0,0,0.0,0,0,0,1,0.0,1,31
6804.0,0,567.0,3,567.0,5,2,0,1,567.0,78,1,0,0.0,0,0,0,1,0.0,0,38
5160.0,1,230.0,3,430.0,1,1,1,0,90.0,31,0,0,0.0,0,0,0,1,140.0,1,25
15084.0,1,1257.0,4,1257.0,1,3,0,0,559.0,16,1,0,0.0,0,1,0,0,0.0,1,28
4164.0,0,347.0,2,347.0,1,1,1,1,347.0,1,1,0,0.0,0,1,0,0,0.0,1,21
0.0,1,0.0,2,0.0,1,1,0,0,0.0,3,0,1,0.0,0,0,1,0,0.0,2,26
11424.0,0,952.0,6,952.0,2,10,1,1,952.0,127,1,0,0.0,0,0,1,0,0.0,0,32
10800.0,1,900.0,3,900.0,1,2,0,0,0.0,2,0,0,900.0,1,0,1,0,0.0,0,25
0.0,1,0.0,3,0.0,2,1,0,0,0.0,14,1,1,0.0,0,0,0,1,0.0,2,33
6120.0,1,310.0,3,510.0,1,1,1,0,200.0,12,1,0,110.0,1,1,0,0,0.0,1,18
0.0,0,0.0,5,0.0,1,4,0,1,0.0,88,1,0,0.0,0,1,0,0,0.0,0,37
6000.0,1,500.0,3,500.0,4,2,1,0,500.0,96,1,0,0.0,0,1,0,0,0.0,1,27
6912.0,0,576.0,3,576.0,1,1,1,1,526.0,32,0,0,0.0,0,0,0,1,0.0,0,26
